company,product name,video date,primary category,description summary,is_sota,tags,license type,deployment,low vram friendly (< 8GB),project url
Independent / Research,Prism,2026-08-02,AI Image Generator,"Neural rendering image generator focusing on physically accurate illumination, reflection modeling, and surface materials.",No,"visual tool, image generation, neural rendering",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://lsh3163.github.io/prism/
Ideogram,Ideogram Object Remover,2026-08-02,AI Image Generator,Web tool within Ideogram providing high-precision content-aware object removal and background inpainting.,No,"visual tool, image editing, object removal, inpainting",Proprietary / Web Tool,Cloud / Web API,N/A (Cloud),https://ideogram.ai/apps/object-remover
Anthropic,Claude Opus 5,2026-07-27,AI Model (LLM),"Anthropic's premier frontier AI model excelling in agentic coding, browser automation, 3D graphics rendering, and deep research.",Yes,"AI model, LLM, reasoning model, coding assistant, browser control, 3D coding",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://www.anthropic.com/news/claude-opus-5
Next State,OpenDreamer,2026-07-26,World Model & Physics Sim,Open-source 3D world model for synthesizing interactive physical environments and visual video dreaming.,No,"world model, 3D simulation, environment dreaming",Research / Open Code,Local (High VRAM >= 8GB),No,https://next-state.github.io/open-dreamer/
OpenAI,GPT Live Desktop Voice,2026-07-26,TTS & Voice Synthesis,OpenAI's desktop native real-time voice assistant providing low-latency conversational audio interaction.,No,"voice tool, audio, desktop assistant, real-time voice",Proprietary / Desktop App,Cloud / Web API,N/A (Cloud),https://learn.chatgpt.com/docs/features/voice
Independent / Research,Homie,2026-07-26,Robotics & Hardware,Open-source embodied AI agent framework for domestic robot home assistance and task execution.,No,"robotics, home assistance agent, household tasks",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://yiyangcai.github.io/homie-page.github.io/
OpenAI,ChatGPT Health,2026-07-26,Medical AI & Biology,Dedicated ChatGPT module securely integrating health data for personal medical and wellness guidance.,No,"medical AI, health assistant, personal assistant, health records",Proprietary / Web App,Cloud / Web API,N/A (Cloud),https://openai.com/index/health-in-chatgpt/
Google Research,Google Quantum Error Correction,2026-07-26,Hardware & Semiconductors,Google's quantum hardware breakthrough demonstrating real-time quantum error correction on physical qubits.,Yes,"quantum computing, hardware, research, quantum error correction",Research / Paper,Cloud / Web API,N/A (Cloud),https://research.google/blog/towards-a-quantum-computer-that-learns-from-its-errors/
Independent / Research,ShotPlan,2026-07-26,AI Video Generator,Cinematography planning assistant that automatically converts film scripts into detailed camera shot lists.,No,"visual tool, cinematography planning, camera script",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://pensioner-11.github.io/ShotPlan/
NVIDIA,Sana Video 2,2026-07-26,AI Video Generator,NVIDIA's ultra-fast open-source video generation model producing high-quality video clips at reduced compute cost.,No,"visual tool, video generator, open-source, fast diffusion",Open Weights,Local (High VRAM >= 8GB),No,https://nvlabs.github.io/Sana/Video2/
Alibaba Qwen,Qwen 3.8,2026-07-26,AI Model (LLM),Alibaba's open-weights LLM offering strong reasoning and long-context capabilities.,No,"AI model, LLM, open weights, competitive benchmark",Open Weights,Local & Cloud,Yes,https://www.qwencloud.com/pricing/token-plan
Nanbeige / ModelScope,Nanbeige 4.2 3B,2026-07-26,AI Model (LLM),Lightweight 3B parameter open-source LLM optimized for fast execution on mobile phones and edge hardware.,No,"AI model, lightweight LLM, open-source, edge deployment",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://modelscope.ai/models/nanbeige/Nanbeige4.2-3B
Google DeepMind,Gemini 3.6 Flash,2026-07-26,AI Model (LLM),Google DeepMind's high-speed multimodal LLM delivering frontier-class reasoning speed for enterprise APIs.,Yes,"AI model, multimodal LLM, fast inference, developer API",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-6-flash-3-5-flash-lite-3-5-flash-cyber/
Zhipu AI / Baseten,GLM 5.2 Vision,2026-07-26,AI Model (LLM),Vision-language model quantized with NVFP4 for running high-resolution multimodal inspection locally on consumer GPUs.,No,"AI model, vision-language model, multimodal LLM, NVFP4 quantized",Open Weights,Local (Low VRAM < 8GB),Yes,https://huggingface.co/baseten/GLM-5.2-Vision-NVFP4
Alibaba Qwen,Qwen Image 3,2026-07-26,AI Image Generator,"Alibaba's advanced image generator excelling in complex typography rendering, graphic design, and high resolution.",No,"visual tool, image generator, text rendering, high resolution",Open Weights,Local (High VRAM >= 8GB),No,https://qwen.ai/blog?id=qwen-image-3
Microsoft,Mage Flow,2026-07-26,AI Image Generator,Microsoft's text-to-image model utilizing flow matching for sharp prompt alignment and typography.,No,"visual tool, image generation, flow matching",Open Weights,Local (Low VRAM < 8GB),Yes,https://huggingface.co/microsoft/Mage-Flow
Black Forest Labs,Flux 3,2026-07-26,AI Image Generator,"Black Forest Labs' flagship text-to-image model delivering top prompt adherence, photorealism, and texture rendering.",Yes,"visual tool, image generator, AI model, state-of-the-art diffusion",Open Weights / Commercial API,Local & Cloud,No,https://bfl.ai/models/flux-3
Poolside AI,Laguna S2.1,2026-07-26,AI Coding Assistant,Poolside AI's specialized coding model optimized for repository-wide software engineering tasks.,No,"AI model, coding LLM, code completion, reasoning",Proprietary / API,Cloud / Web API,N/A (Cloud),https://poolside.ai/blog/introducing-laguna-s-2-1
Google,GNM,2026-07-19,Robotics & Hardware,Google's open-source generalist navigation model for autonomous mobile robot navigation across unseen environments.,No,"robotics, navigation model, autonomous mobile robot",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://github.com/google/GNM
Independent / Research,Act 2,2026-07-19,Robotics & Hardware,Action synthesis model translating high-level task instructions into physical robotic motor actions.,No,"robotics, action synthesis, motion control",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://act2-robotics.github.io/
Coolfly,Coolfly eVTOL,2026-07-19,Hardware & Semiconductors,Personal electric VTOL vehicle / hoverboard concept for local aerial transportation.,No,"hardware, transportation, vehicle, hoverboard, eVTOL",Proprietary Hardware,Local (Hardware),No,https://coolfly.ai/
HumanAIGC,WanDancer,2026-07-19,AI Video Generator,Pose-guided video generator producing realistic dancing videos from static photos.,No,"visual tool, dance video generation, pose guidance",Open Weights,Local (High VRAM >= 8GB),No,https://humanaigc.github.io/wan-dancer-project/
Wan AI,Wan Streamer v0.3,2026-07-19,AI Video Generator,Real-time low-latency video streaming model generating live interactive video avatars from speech.,No,"visual tool, real-time video streaming, low latency avatar",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://wan-streamer.com/v0.3/
Independent / Research,Motion4Motion,2026-07-19,AI Video Generator,Motion transfer framework allowing pose and motion replication across video subjects.,No,"visual tool, motion transfer, pose copy",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://lhchen.top/Motion4Motion
Qualcomm AI Research,MobileWan,2026-07-19,AI Video Generator,Qualcomm's mobile-optimized video generation model designed to run efficiently on smartphone NPU hardware.,Yes,"visual tool, mobile video generation, efficient on-device",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://qualcomm-ai-research.github.io/MobileWan/
NVIDIA,Ardy,2026-07-19,AI Video Generator,NVIDIA's 3D character animation system for automated rigging and dynamic motion synthesis.,No,"visual tool, 3D character animation, dynamic rig",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://research.nvidia.com/labs/sil/projects/ardy/
Mirelo AI,Mirelo Audio to MIDI,2026-07-19,AI Music & Audio,Web tool converting polyphonic audio and music recordings into clean MIDI tracks.,No,"AI music, audio processing, MIDI converter, polyphonic transcription",Proprietary / Web Tool,Cloud / Web API,N/A (Cloud),https://www.mirelo.ai/blog/turning-audio-to-midi
Thinking Machines,Inkling,2026-07-19,AI Model (LLM),Thinking Machines' reasoning language model benchmarked for multi-step logic and mathematical reasoning.,No,"AI model, reasoning model, reasoning benchmarks",Open Weights,Local (Low VRAM < 8GB),Yes,https://thinkingmachines.ai/news/introducing-inkling/
OpenAI,GPT Red,2026-07-19,AI Model (LLM),OpenAI's specialized red-teaming LLM trained for security vulnerability exploitation and penetration testing.,No,"AI model, cybersecurity, red teaming LLM, security analysis",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://openai.com/index/gpt-red/
Prism ML,Bonsai 27B,2026-07-19,AI Model (LLM),Efficient 27B parameter open-weights LLM available in ternary quants balancing accuracy with low VRAM footprint.,No,"AI model, LLM, open-source, efficient 27B architecture",Open Weights,Local (Low VRAM < 8GB),Yes,https://prismml.com/news/bonsai-27b
NVIDIA,PiD v1.5,2026-07-19,AI Image Generator,NVIDIA's upgraded Pixel Diffusion model offering fast 4K image upscaling and generation in ComfyUI.,Yes,"AI model, image generator, 4K diffusion, fast upscaling",Open Weights,Local (Low VRAM < 8GB),Yes,https://github.com/Comfy-Org/ComfyUI/pull/14103
Independent / Research,Lucida,2026-07-19,AI Image Generator,Interactive light direction control tool adjusting illumination angles in pre-existing images.,No,"visual tool, light direction control, relighting",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://github.com/egeorcun/lucida
Independent / Research,GenCeption,2026-07-19,AI Image Generator,Generative image perception model for precise local visual editing.,No,"visual tool, image perception, generative editing",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://genception.github.io/
NVIDIA,Nemotron Embed,2026-07-19,AI Agent & Research Framework,NVIDIA's state-of-the-art text embedding model winning top ranking on the RTEB benchmark.,Yes,"AI model, embedding model, retrieval, RAG benchmarking",Open Weights,Local (Low VRAM < 8GB),Yes,https://huggingface.co/blog/nvidia/nemotron-3-embed-wins-rteb
OpenAI,GPT 5.6,2026-07-10,AI Model (LLM),"OpenAI's state-of-the-art frontier model excelling in complex reasoning, mathematics, coding, and financial analysis.",Yes,"AI model, LLM, reasoning model, coding assistant, multimodal",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://openai.com/index/gpt-5-6/
OpenAI,Codex App,2026-07-10,AI Coding Assistant,"OpenAI's dedicated desktop application for developer agent execution, terminal workflow, and session replay.",Yes,"AI coding assistant, developer workspace, record and replay",Proprietary / Desktop App,Cloud / Web API,N/A (Cloud),https://developers.openai.com/codex/app
Independent / Research,PhysiFormer,2026-07-05,World Model & Physics Sim,Physics-informed video predictor simulating fluid dynamics and mechanical interactions.,No,"visual tool, physics simulation, video prediction",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://yimingc9.github.io/physiformer/
UBTech,UBTech U1,2026-07-05,Robotics & Hardware,Industrial humanoid robot designed for factory automation and heavy material handling.,No,"robotics, humanoid robot, industrial automation",Proprietary Hardware,Local (Hardware),No,https://ubtrobot.com/
NVIDIA,SimFoundry,2026-07-05,Robotics & Hardware,NVIDIA physics simulation platform for high-fidelity robot simulation and digital twins.,No,"robotics, simulation tool, physics engine",Open Source / NVIDIA License,Local (High VRAM >= 8GB),No,https://research.nvidia.com/labs/gear/simfoundry/
NVIDIA Isaac,CHORD,2026-07-05,Robotics & Hardware,NVIDIA Isaac tool converting video footage into structured synthetic training data for robots.,No,"robotics, video-to-data, synthetic data generation",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://nvidia-isaac.github.io/video_to_data/chord/
Meta AI,Brain2qwerty,2026-07-05,Medical AI & Biology,Meta AI's brain-computer interface system translating non-invasive brain activity into typed text.,Yes,"medical AI, brain-computer interface, text generation, EEG decoding",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://ai.meta.com/blog/brain2qwerty-brain-ai-human-communication/
Independent / Research,MrFlow,2026-07-05,AI Video Generator,Motion flow estimation tool controlling camera trajectories in video generation.,No,"visual tool, motion flow, camera trajectory",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://github.com/Xingyu-Zheng/MrFlow
Meituan,LongCat 2.0,2026-07-05,AI Video Generator,Video avatar model generating long-duration avatar videos with accurate lip synchronization.,No,"visual tool, video avatar generator, long text-to-video",Open Weights,Local (High VRAM >= 8GB),No,https://longcat.chat/blog/longcat-2.0/
Independent / Research,LiveEdit,2026-07-05,AI Video Generator,Real-time video editor allowing live facial modification during video calls.,No,"visual tool, live video editor, real-time face modification",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://live-edit.github.io/
Google Labs,Google Flow,2026-07-05,AI Video Generator,Google Labs creative suite for structuring node-based AI video generation workflows.,No,"visual tool, AI video workflow, creative suite",Proprietary / Web Tool,Cloud / Web API,N/A (Cloud),https://labs.google/fx/tools/flow
GRFIA DLSI,MusViT,2026-07-05,AI Music & Audio,Optical music recognition model parsing sheet music into playable audio and MIDI.,No,"AI music, sheet music, audio, optical music recognition",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://grfia.dlsi.ua.es/musvit/
Google DeepMind,Gemini Omni Flash,2026-07-05,AI Model (LLM),Google DeepMind's ultra-fast multimodal model designed for real-time mobile and web agent interactions.,Yes,"AI model, multimodal LLM, fast inference, low latency",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-omni-flash-nano-banana-2-lite/
Anthropic,Claude Sonnet 5,2026-07-05,AI Model (LLM),Anthropic's high-speed frontier LLM tailored for agentic coding and complex enterprise tasks.,Yes,"AI model, LLM, coding assistant, fast reasoning",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://www.anthropic.com/news/claude-sonnet-5
Independent / Research,RDM,2026-07-05,AI Image Generator,Relational diffusion model enabling spatial composition and object interaction control.,No,"visual tool, relational diffusion model, spatial composition",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://alan-lanfeng.github.io/rdm/
Comfy-Org,Comfy MCP,2026-07-05,AI Agent & Research Framework,ComfyUI integration implementing Model Context Protocol to connect AI agents to ComfyUI workflows.,No,"AI agent tool, workflow automation, ComfyUI, model context protocol",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://blog.comfy.org/p/comfy-mcp-turn-your-agent-into-a
InternScience,Agents A1,2026-07-05,AI Agent & Research Framework,Autonomous scientific agent platform executing lab experiments and analyzing scientific literature.,No,"AI agent, scientific agent, autonomous lab assistant",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://internscience.github.io/Agents-A1/
Independent / Research,VidiHand,2026-07-05,3D Generator,Real-time 3D hand tracking and gesture capture framework from video feeds.,No,"visual tool, 3D hand tracking, gesture capture",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://vidihand.github.io/
Independent / Research,OmniContact,2026-07-05,3D Generator,3D physics contact model synthesizing realistic object-hand contact points.,No,"3D generator, physics contact, object interaction",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://omnicontact.github.io/
Independent / Research,Luna,2026-07-05,3D Generator,3D avatar generation system creating photorealistic head models with customizable lighting.,No,"3D generator, avatar generation, lighting modeling",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://penghtyx.github.io/LUNA/
NVIDIA,Aspire,2026-07-05,3D Generator,NVIDIA 3D asset generation tool creating game-ready models with PBR materials.,No,"visual tool, 3D asset generation, material synthesis",Research / Open Code,Local (High VRAM >= 8GB),No,https://research.nvidia.com/labs/gear/aspire/
DeepSeek,dSpark (DeepSeek-V4-Pro-DSpark),2026-07-03,AI Model (LLM),DeepSeek's open-source speculative decoding framework delivering multi-fold speedups for DeepSeek V4 models.,Yes,"AI model, speculative decoding, LLM inference engine, open-source, speedup",Open Source (MIT),Local & Cloud,Yes,https://github.com/deepseek-ai/DeepSpec/
Unitree,Unitree R1,2026-06-28,Robotics & Hardware,Agile humanoid robot by Unitree designed for indoor/outdoor locomotion and dynamic balance.,No,"robotics, humanoid robot, agile locomotion",Proprietary Hardware,Local (Hardware),No,https://unitree.com/r1
Deep Reinforce,Ornith,2026-06-28,Robotics & Hardware,RL flight simulation framework for training high-speed autonomous drone controllers.,No,"robotics, RL flight simulation, drone control",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://deep-reinforce.com/ornith_1_0.html
Bitrobot Foundation,Humanoids in the Wild 500 (HIW 500),2026-06-28,Robotics & Hardware,Bitrobot Foundation's open dataset featuring 500 hours of real-world humanoid robot operations.,Yes,"robotics, dataset, humanoid AI, 500 hours dataset",Open Source Dataset,Local (Low VRAM < 8GB),Yes,https://bitrobot-foundation.github.io/humanoids-in-the-wild-500-hours/
Aleph Neuro,Aleph Ultrasound Brain,2026-06-28,Medical AI & Biology,Non-invasive brain ultrasound imaging system providing functional neuroimaging without MRI.,Yes,"medical AI, brain ultrasound, health, non-invasive neuroimaging",Research / Hardware,Local (Hardware),No,https://alephneuro.com/blog/ultrasound-brain
OpenAI / Broadcom,OpenAI Jalapeno Chip,2026-06-28,Hardware & Semiconductors,Custom AI inference silicon developed by OpenAI and Broadcom for high-efficiency data center serving.,No,"hardware, AI inference chip, custom silicon",Proprietary Hardware,Cloud / Web API,N/A (Cloud),https://openai.com/index/openai-broadcom-jalapeno-inference-chip/
IBM,IBM Sub-Nano Chip,2026-06-28,Hardware & Semiconductors,IBM's semiconductor breakthrough creating the world's first sub-1nm gate-all-around chip technology.,Yes,"hardware, sub-1nm semiconductor, gate-all-around chip",Proprietary Hardware,Local (Hardware),N/A (Cloud),https://newsroom.ibm.com/2026-06-25-ibm-debuts-worlds-first-sub-1-nanometer-chip-technology
Wan AI,Wan Streamer,2026-06-28,AI Video Generator,Real-time video streaming engine for live AI video generation.,No,"visual tool, real-time video streaming, live avatar",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://wan-streamer.com/
Happy Horse,Happy Horse 1.1,2026-06-28,AI Video Generator,2D cartoon video generator producing expressive character animation.,No,"visual tool, animation generator, cartoon video",Proprietary / Web Service,Cloud / Web API,N/A (Cloud),https://www.happyhorse.com/
Independent / Research,DanceOPD,2026-06-28,AI Video Generator,Dance animation system synthesizing synchronized dance routines from audio input.,No,"visual tool, dance animation, pose estimation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://danceopd.github.io/
ByteDance,Seed 2.1,2026-06-28,AI Model (LLM),"ByteDance's multimodal foundation model supporting vision, audio, and language reasoning.",No,"AI model, multimodal LLM, vision-language foundation",Open Weights,Local & Cloud,Yes,https://seed.bytedance.com/en/seed2_1
